year,catch_category,length,numbers
2014,Discards,160,3486.32
2014,Discards,180,4849.92
2014,Discards,190,38397.75
2014,Discards,200,46048.22
2014,Discards,210,116800.04
2014,Discards,220,203195.76
2014,Discards,230,356685.12
2014,Discards,240,458099.71
2014,Discards,250,523460.29
2014,Discards,260,659159.05
2014,Discards,270,663274.05
2014,Discards,280,664114.04
2014,Discards,290,574512.51
2014,Discards,300,386997.11
2014,Discards,310,219615.32
2014,Discards,320,86797.22
2014,Discards,330,66994.11
2014,Discards,340,13646.32
2014,Discards,350,10588.95
2014,Discards,360,7170.52
2014,Discards,370,7896.23
2014,Discards,380,3188.47
2014,Discards,390,1461.07
2014,Discards,420,1288.42
2014,Discards,430,203.53
2014,Discards,460,203.53
2014,Discards,470,203.53
2014,Discards,480,203.53
2014,Discards,510,1628.14
2014,Landings,230,24.76
2014,Landings,240,146.21
2014,Landings,250,2879.57
2014,Landings,260,26010.52
2014,Landings,270,55680.31
2014,Landings,280,137212.59
2014,Landings,290,221078.38
2014,Landings,300,282706.43
2014,Landings,310,328392.23
2014,Landings,320,369596.48
2014,Landings,330,332562.35
2014,Landings,340,303104.04
2014,Landings,350,242349.36
2014,Landings,360,201209.57
2014,Landings,370,151342.49
2014,Landings,380,123312.69
2014,Landings,390,91959.46
2014,Landings,400,85733.88
2014,Landings,410,61345.18
2014,Landings,420,53090.33
2014,Landings,430,28533.48
2014,Landings,440,29341.99
2014,Landings,450,16977.34
2014,Landings,460,18293.96
2014,Landings,470,11586.26
2014,Landings,480,12756.24
2014,Landings,490,7427.14
2014,Landings,500,6977.5
2014,Landings,510,7780.04
2014,Landings,520,5088.96
2014,Landings,530,4459.54
2014,Landings,540,3893.98
2014,Landings,550,1958.03
2014,Landings,560,1647.15
2014,Landings,570,1484.97
2014,Landings,580,615.92
2014,Landings,590,676.01
2014,Landings,600,108.72
2014,Landings,610,109.41
2014,Landings,620,453.16
2014,Landings,640,65.8
2014,Landings,650,30.21
2014,Landings,660,256.54
2015,Discards,120,128.6
2015,Discards,140,514.41
2015,Discards,160,3691.68
2015,Discards,170,1991.29
2015,Discards,180,4749.54
2015,Discards,190,34535.89
2015,Discards,200,75911.77
2015,Discards,210,138289.89
2015,Discards,220,168226.8
2015,Discards,230,196937.12
2015,Discards,240,248325.53
2015,Discards,250,272109.72
2015,Discards,260,421583.09
2015,Discards,270,495148.05
2015,Discards,280,503321.45
2015,Discards,290,462317.89
2015,Discards,300,451870.17
2015,Discards,310,448185.97
2015,Discards,320,344747.04
2015,Discards,330,278141.53
2015,Discards,340,156608.08
2015,Discards,350,122363.56
2015,Discards,360,53945.76
2015,Discards,370,30224.66
2015,Discards,380,14187.19
2015,Discards,390,9822.8
2015,Discards,400,5501.57
2015,Discards,410,1428.06
2015,Discards,420,2279.5
2015,Discards,430,1080.96
2015,Discards,440,1126.06
2015,Discards,450,752.25
2015,Discards,460,1283.83
2015,Discards,470,157.77
2015,Discards,480,157.77
2015,Discards,500,78.87
2015,Discards,520,157.77
2015,Discards,540,78.87
2015,Landings,220,169.26
2015,Landings,230,792.87
2015,Landings,240,259.28
2015,Landings,250,628.61
2015,Landings,260,4040.18
2015,Landings,270,6477.6
2015,Landings,280,23540.82
2015,Landings,290,46907.39
2015,Landings,300,89959.83
2015,Landings,310,143391.55
